meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
0.9556,0.2987,1.0794,0.0349,0.0916,0.3225,-0.4847,0.1306,-0.3976,35.9253,33.5104,-114.0137,-212.2355,104.8823,-318.1763,-25.7161,23.3062,-92.1631,left,11804106
0.9958,0.3127,1.0635,-0.1026,0.138,0.3689,-0.3592,0.1968,-0.7752,4.6834,41.1498,-134.0332,-248.3846,101.9645,-354.8584,-43.1763,45.6148,-123.0469,left,11804106
0.9488,0.2803,0.9883,-0.134,0.1044,0.3142,-0.4149,0.1214,-0.3615,4.7323,43.3929,-140.1367,-244.9382,100.0152,-294.5557,-40.3402,46.0401,-133.7891,left,11804106
0.9226,0.3626,1.14,-0.1057,0.0774,0.2587,-0.404,0.2493,-0.7635,13.0819,22.0726,-64.5752,-275.3662,130.64,-339.2334,-12.5651,34.73,-110.9619,left,11804106
0.9269,0.3327,1.0992,-0.1469,0.0837,0.3104,-0.4025,0.2505,-0.7123,-17.9036,18.3387,-67.1387,-268.339,123.4149,-349.3042,-33.2438,20.1183,-66.2231,left,11804106
1.0142,0.2826,1.0812,-0.1159,0.078,0.2988,-0.2935,0.2329,-0.7694,3.597,22.5664,-73.5474,-284.9609,125.3887,-379.5776,-43.4611,28.3911,-85.7544,left,11804106
1.0308,0.3929,1.2067,-0.1358,0.0463,0.1927,-0.3069,0.179,-0.6458,0.1628,13.0067,-47.0581,-295.5811,147.9235,-427.7954,-20.8862,24.2515,-69.2749,left,11804106
1.0264,0.3003,1.1277,-0.1141,0.0822,0.2682,-0.2481,0.1619,-0.5468,15.0879,30.6654,-87.2192,-244.3807,145.7903,-448.8525,-52.4821,26.2945,-82.8247,left,11804106
1.0614,0.2564,1.0275,-0.0687,0.0583,0.1807,-0.2882,0.1754,-0.6196,9.7738,26.4832,-84.2285,-243.3268,144.4403,-426.9409,-17.924,24.4439,-69.0918,left,11804106
0.9672,0.3037,1.0577,-0.1905,0.0826,0.2934,-0.3294,0.1925,-0.5701,-3.9429,20.8499,-68.4814,-264.506,176.3879,-445.0073,-23.3358,32.1951,-99.7925,left,11804106
1.0023,0.2947,1.0224,-0.0893,0.1256,0.3481,-0.2994,0.1976,-0.7748,-26.534,38.2981,-115.1123,-263.1673,125.337,-363.0371,-16.2191,29.7657,-93.2617,left,11804106
0.9618,0.3293,1.1937,-0.0813,0.143,0.5857,-0.2719,0.2124,-0.8101,41.8132,28.7016,-85.022,-238.5539,143.6296,-405.7007,-7.0109,27.0693,-85.2051,left,11804106
1.0344,0.3551,1.1638,-0.1418,0.054,0.1678,-0.2143,0.2399,-0.7197,-14.8641,25.9095,-81.2378,-258.5287,144.8562,-432.251,-3.9754,22.4046,-77.3926,left,11804106
0.9867,0.392,1.285,-0.1334,0.0436,0.1524,-0.3605,0.1562,-0.5729,-5.839,19.7172,-63.3545,-268.7541,121.8011,-361.9385,-10.3516,30.8157,-100.4639,left,11804106
0.9549,0.2959,1.0063,-0.1855,0.0856,0.2985,-0.4201,0.173,-0.6059,-10.3923,23.0561,-76.1108,-281.1239,118.4989,-340.8813,-29.9927,26.9295,-83.8623,left,11804106
1.0935,0.3014,1.1589,-0.0917,0.0611,0.2026,-0.2587,0.1734,-0.5498,21.1548,18.8103,-67.1387,-303.2878,146.7843,-419.6777,-6.7424,16.269,-56.1523,left,11804106
1.0143,0.339,1.23,-0.1096,0.1051,0.4121,-0.3014,0.1911,-0.6658,8.5449,40.0236,-123.5352,-249.7477,137.1245,-382.2632,-25.7975,26.6686,-78.0029,left,11804106
0.9842,0.3094,1.0869,-0.155,0.0567,0.2167,-0.2994,0.1973,-0.6466,2.4251,21.0502,-90.332,-278.7272,118.4317,-351.2573,7.548,18.6692,-62.0728,left,11804106
1.0313,0.2985,1.1688,-0.0569,0.1039,0.3284,-0.2607,0.1526,-0.4508,32.1981,23.7976,-71.7773,-250.179,136.8633,-383.1177,-13.9038,25.5402,-92.4072,left,11804106
0.7868,0.3471,0.9655,-0.1389,0.0404,0.1791,-0.541,0.1911,-0.6849,11.1613,14.4959,-54.9316,-235.5754,42.4335,-157.0435,25.8301,28.9079,-98.5718,left,11804106
0.9929,0.2808,0.943,-0.0837,0.0852,0.3033,-0.352,0.1985,-0.6432,12.439,11.8789,-45.4102,-251.1149,132.4303,-357.605,-16.8254,26.5458,-88.9282,left,11804106
0.8919,0.3813,1.1,-0.0537,0.0726,0.2581,-0.2777,0.2683,-0.9457,35.4207,25.7383,-77.8809,-290.7674,97.1168,-310.8521,-21.8587,16.0058,-64.6362,left,11804106
1.0449,0.2968,1.0898,-0.1593,0.0755,0.3149,-0.2357,0.2123,-0.7803,-2.2095,18.1635,-60.4858,-263.7614,137.1238,-374.7559,11.5763,15.4788,-46.4478,left,11804106
0.8963,0.3468,1.0319,-0.1092,0.0923,0.3023,-0.3624,0.2695,-0.9509,15.2791,19.1353,-62.0728,-268.103,100.8879,-299.1333,-21.4844,18.2029,-58.3496,left,11804106
0.9588,0.3075,1.0327,-0.1009,0.0722,0.2585,-0.3126,0.291,-0.9553,1.473,9.9323,-33.5083,-267.5537,104.8009,-324.1577,-3.7882,15.8184,-50.7812,left,11804106
0.9237,0.3871,1.1259,-0.1452,0.1299,0.4003,-0.2417,0.2297,-0.7446,-18.6808,27.9294,-89.8438,-265.3402,111.6117,-336.792,-19.7347,18.8841,-59.2651,left,11804106
0.9767,0.3894,1.2919,-0.0327,0.1433,0.4594,-0.2545,0.2324,-0.8157,41.6056,15.5143,-54.5044,-259.1553,162.7853,-447.6318,13.2284,23.2002,-68.8477,left,11804106
1.0658,0.3232,1.2498,-0.1393,0.0379,0.178,-0.2873,0.1448,-0.4821,-5.9448,20.7394,-69.0918,-254.126,162.9877,-456.1768,-10.6527,12.3849,-40.2222,left,11804106
0.9871,0.3002,1.0803,-0.1316,0.1002,0.3902,-0.3564,0.1968,-0.7761,11.2305,24.1538,-80.8716,-268.2169,140.4472,-419.0063,9.8022,12.8258,-44.4946,left,11804106
0.9318,0.3322,1.0222,-0.0817,0.0248,0.096,-0.4321,0.2201,-0.6782,-18.4285,21.2702,-60.6079,-237.7523,94.3235,-292.7246,-2.6896,13.6895,-38.9404,left,11804106
0.8936,0.2822,1.1277,-0.0742,0.0867,0.3673,-0.2164,0.0966,-0.3928,60.2783,76.6241,-225.0366,-148.8118,182.5073,-525.2075,9.8145,40.2149,-175.7202,up,11804106
0.8176,0.2395,0.8561,0.0265,0.0779,0.3357,-0.3895,0.1383,-0.4639,38.0737,53.2671,-214.8438,-196.6024,139.9553,-378.8452,29.0609,32.2018,-137.207,up,11804106
0.9292,0.2442,0.6985,0.1924,0.0595,0.1827,-0.2638,0.1698,-0.4585,23.1364,31.3492,-126.8311,-212.1745,181.2861,-505.249,77.6855,62.8412,-178.9551,up,11804106
1.0453,0.3031,1.1274,0.1896,0.0988,0.3384,-0.0671,0.1286,-0.3794,4.3172,43.9416,-159.9121,-250.6714,202.1122,-532.4097,94.1162,94.07,-253.6011,up,11804106
1.0253,0.2191,0.8671,0.2552,0.059,0.207,-0.3363,0.0815,-0.2974,51.6154,48.1754,-146.7896,-167.7246,177.4087,-465.4541,54.716,59.4286,-166.1987,up,11804106
0.9445,0.3382,1.3353,0.0951,0.0767,0.3063,-0.2393,0.0742,-0.2599,49.1903,41.4874,-130.6763,-179.248,163.7843,-443.1152,-20.8048,25.2293,-76.5381,up,11804106
0.9985,0.262,1.0503,0.2203,0.0466,0.143,-0.1588,0.1327,-0.4494,34.1105,33.3112,-118.5303,-222.0011,145.0396,-417.8467,35.2498,43.6352,-178.0396,up,11804106
0.972,0.1721,0.724,0.0851,0.0373,0.1198,-0.2212,0.1294,-0.3901,5.367,29.2325,-120.3003,-207.3405,144.9257,-393.1274,-8.6833,20.2455,-95.1538,up,11804106
0.9851,0.228,0.8839,0.0938,0.0765,0.2534,-0.3134,0.1191,-0.3226,87.1826,64.8691,-215.1489,-194.8446,143.2236,-394.2871,0.5697,62.0338,-201.6602,up,11804106
1.0068,0.1813,0.761,0.1756,0.0872,0.2732,-0.283,0.1093,-0.3492,92.8426,66.799,-194.5801,-186.5031,146.3485,-421.0815,22.0093,50.8007,-161.5601,up,11804106
0.8648,0.1731,0.6907,0.1489,0.0248,0.071,-0.3907,0.0817,-0.2234,60.8561,32.1797,-94.2993,-163.1266,137.3914,-371.0938,27.946,29.4634,-81.4819,up,11804106
0.861,0.295,1.0361,0.0804,0.1171,0.3718,-0.3152,0.2184,-0.6215,46.1873,47.2025,-158.3252,-227.181,102.0315,-268.2495,17.867,28.4081,-115.9058,up,11804106
0.9439,0.253,1.0493,0.0938,0.1039,0.3687,-0.1882,0.145,-0.4652,11.0555,39.0718,-147.1558,-269.6818,149.4982,-407.959,35.8032,61.1069,-195.9229,up,11804106
0.8106,0.2123,0.9345,0.1914,0.0501,0.1562,-0.3668,0.1205,-0.3654,65.4378,42.394,-153.1982,-157.5562,131.9632,-383.0566,12.3779,17.1261,-63.4155,up,11804106
0.9164,0.2996,1.016,0.1833,0.0695,0.22,-0.1987,0.0791,-0.3724,78.3569,65.8669,-228.6987,-146.1629,142.1786,-415.5884,3.7354,13.099,-49.8047,up,11804106
0.7266,0.135,0.5699,0.0551,0.0389,0.1577,-0.6165,0.1003,-0.3871,27.4089,34.0929,-98.999,-103.654,114.8914,-340.3931,10.4329,35.6166,-108.6426,up,11804106
0.9433,0.3045,0.9623,-0.0226,0.0826,0.2524,0.1601,0.3018,-1.0474,4.1016,32.0147,-101.7456,-285.8927,125.6621,-380.4932,26.9409,45.809,-138.855,up,11804106
0.1964,0.0178,0.0575,-0.1133,0.0062,0.0181,-0.9693,0.009,-0.0275,5.6288,11.1074,-35.0342,-20.3857,4.0781,-11.7188,11.0202,4.6388,-13.4277,up,11804106
0.8863,0.3002,1.1627,0.3206,0.1241,0.5242,-0.2774,0.078,-0.2418,67.0858,66.6303,-213.0737,-174.4263,130.0355,-358.5205,15.8529,19.6265,-67.749,up,11804106
0.867,0.2466,0.9696,0.3192,0.0801,0.3754,-0.2754,0.1146,-0.3945,54.6061,59.6326,-181.3965,-179.1626,123.6506,-302.4902,32.4178,51.326,-157.1655,up,11804106
0.8733,0.2906,0.9576,0.1643,0.0683,0.293,-0.3635,0.1175,-0.3881,-0.2279,25.0067,-97.5342,-227.2054,117.6108,-304.5654,40.4622,39.347,-142.334,up,11804106
0.9315,0.2409,0.9582,0.3138,0.0441,0.1719,-0.2439,0.1371,-0.3731,52.5635,39.1237,-148.4375,-169.4173,139.6827,-403.8086,5.3996,26.2445,-85.5713,up,11804106
0.9166,0.2658,1.0924,0.3346,0.1532,0.5637,-0.2063,0.0868,-0.2776,73.7305,56.5429,-155.6396,-198.1283,147.2088,-397.644,-36.1572,27.0138,-95.5811,up,11804106
